doc_id,topic_id,text
0,5,"TITLE: Service Learning as a Teaching Strategy of Seismic Vulnerability during the COVID-19 Pandemic | KEYWORDS: COVID-19; learning experience; seismic vulnerability; service learning; STEM education; teaching strategy | ABSTRACT: COVID-19 has generated the largest disruption of the present century, forcing mankind to evaluate many paradigms. Educators have faced the challenge to develop teaching strategies suitable for distance learning, which is particularly complex for those engineering concepts where service learning is an effective approach. This paper presents a remote service based learning strategy, used to teach seismic vulnerability assessment to fourth-year Civil Engineering students at Universidad de La Sabana in Colombia. This strategy involved five stages and was adapted to be carried out remotely by students in their homes using a combination of several tools such as remote maps. The main activities were the seismic vulnerability assessment of the students' houses and the remote assessment of the building stock of Cajica, a municipality close to the University campus. The learning outcomes were assessed using evaluation rubrics. The results show that the proposed strategy is effective, as 100% of students scored at the top level of the rubric at the fifth stage. In addition, they indicate that service learning in a close context like the family generates motivation and commitment in students to their learning process. Overall, this experience demonstrated that service learning is an effective strategy for teaching engineering concepts in a remote environment. It also showed that although COVID-19 required the development of new teaching strategies, this did not become a limitation to fulfill the learning outcomes."
1,1,"TITLE: Math-gender stereotypes in Chile: Identification of associated factors across youth and adults Estereotipos de género en matemáticas en Chile: Identificación de factores asociados en jóvenes y adultos | KEYWORDS: adults; Chile; math-gender stereotypes; socioeconomic disparities; youth | ABSTRACT: Math-gender stereotypes that associate math more with males than females are a contributing factor to the underrepresentation of women in STEM fields. Given the pronounced gender disparities in math achievements in Chile, this study investigates these stereotypes within the Chilean context, examining their incidence and associated factors in two distinct age groups: adults and youth. Participants included adults (n = 5,038) and youth (n = 846) from the Encuesta Nacional de Percepción Social de la Ciencia, Tecnología, Conocimiento e Innovación study. Information on math-gender stereotypes, sociodemographics, and science perceptions were collected via participants’ reports. Logistic regression analyses using sampling weights were conducted in the two groups. Adults exhibited significantly higher levels of math-gender stereotypes compared to youth. Both groups shared factors associated with the probability of endorsing stereotypes (educational level, socioeconomic status, perception towards science). Conversely, sex emerged as a significant predictor for youth but not for adults. Findings suggest that math-gender stereotypes persist at different age groups in Chile, albeit with varying degrees. Socioeconomic disparities and the value towards science emerged as significant precursors across all groups."
2,0,"TITLE: The influence of parent’s expectations and children’s early skills on children’s future STEM career prospects La influencia de las expectativas de los padres y las habilidades tempranas en las perspectivas de futuras carreras STEM de los niños y niñas | KEYWORDS: career expectations; cognitive skills; communication skills; executive functions; gender gaps; socio-emotional skills; STEM | ABSTRACT: | Introduction: This paper investigates indicators of STEM career expectations among middle school children in Chile, with a focus on the roles of parental career expectations and children’s early skills (communication, cognitive, socio-emotional skills, and executive functions), and the moderating effects of gender and family socioeconomic sta-tus. Method: Using data from the Chilean ‘Encuesta Longitudinal de la Primera Infancia’ 2017 wave, the study involved 2959 children from 10 to 12 years of age. Both children’s and parents’ career expectations were measured through open questions. The assessment of the same children’s early skills was conducted in the 2012 wave when the children were from five to seven years of age, using the Battelle Developmental Inventory and the Backward Digit Span tests. Results: Findings revealed that boys, especially those with mothers with higher educational levels who have STEM expectations for their children, are more likely to expect to continue STEM careers in the future. A significant moderation effect was also found, indicating that parental expectations have a stronger association with girls’ and lower-middle SES children’s STEM career preferences. No significant results were observed for children’s early skills on later STEM career expectations. Conclusions: The study suggests that educational strategies involving family engagement are important for fostering equitable STEM career opportunities."
3,1,"TITLE: Gender and Psychological Variables as Key Factors in Mathematics Learning: A Study of Seventh Graders in Chile | KEYWORDS: Gender; learning; mathematics; motivation; self-concept | ABSTRACT: Chile is one of the countries with the largest gender gaps in high school mathematics achievement. Gender differences were studied examining the mathematics performance of 1,380 seventh grade students from 41 public schools, psychological variables related to achievement, and their perceptions of teachers’ support and expectations. Students’ self-reported attitudes and perceptions were assessed, as well as achievement at the beginning and end of the school year. Multivariate analysis of variance and co-variance, and multi-level regression analyses were performed. Significant differences were found favoring boys in mathematics achievement, motivation to learn mathematics, and math self-concept; and favoring girls regarding perceptions of teachers’ instructional support. Controlling for prior achievement, math self-concept and students’ perceptions of teacher expectations are significant predictors of mathematics achievement."
4,14,"TITLE: Copper demand forecasts and predictions of future scarcity | KEYWORDS: Backcasting; Copper; Demand model; Fixed stock; Reserves | ABSTRACT: Several studies dealt in the past decades with future predictions of the copper demand, motivated mainly by potential copper shortages that could arise due to insufficient reserves. It is known that there was never a shortage of reserves in order to satisfy demand in the last century and up to the present time. This paper addresses two questions. Did these concerns arise due to excessive demand forecasts, or due to stagnating reserves assumption, or due to both aspects? The article evaluates some of these predictions of future copper demand and compares forecasts with the real metal demand that materialized in past years. Also, it analyses the reserve assumptions of several studies and compares them with what really happened with copper reserves. In the case of recent forecast models that span into future years, whose copper demand is not known yet, a backcasting method was used in order to estimate forecasts, which consists of applying the model in the past. Five out of the seven models rerun in the original periods overestimated demand and two out of them considered that reserves were a fixed stock. Also, the two models studied by the backcasting method considered that reserves were a fixed stock. The four models that considered reserves as a fixed stock run out of reserves, irrespective of whether they overestimated or underestimated demand. These results suggest that predictions of a future scarcity of copper could be mainly attributed to the assumption of a fixed stock of reserves and not necessarily to overestimations of demand. The remaining five models did not consider the future availability of copper."
5,14,"TITLE: Evaluation of econometric models of secondary refined copper supply | KEYWORDS: Copper; Econometric model; Scrap; Secondary copper | ABSTRACT: Copper is essential in attaining a sustainable development path due to its prominent role in the electromobility and renewable energy industries. In 2019 refined copper usage was 23.5 million tons, of which primary copper supplied 86.3%, and the remaining 13.7% was provided by secondary metal. In the future, copper recycling would increase significantly concerning primary copper supply to meet the goal of decreasing greenhouse gases emissions. Secondary copper production reduces energy consumption by 85% and greenhouse gas emissions by 65% compared to average primary sources. This study analyzes seven econometric models described in the literature that tried to explain the supply of secondary refined copper worldwide (SRC). Furthermore, this study assesses the forecasting capacity of these models in the short and long-term. Although the explanatory variables selected by previous researchers are theoretically supported, they failed to fully explain SRC. An empirical analysis for the period 1960–2017 confirmed that only two of the eight studied explanatory variables shown to be causal of SRC in the short-term. The re-estimation of the coefficients shows high instability when the number of variables or observations changed, making it difficult to analyze the future market and to assess public policies. Although the explanatory variables share the same long-term trend (cointegrated series), they do not properly forecast the future when evaluated using the Backcasting methodology. Based on these results, it is possible to improve the explanatory and predictive power of the analyzed models and reduce their average error."
6,14,"TITLE: Potential copper production through 2035 in Chile | KEYWORDS: Chile; Copper production; Energy; GHG; Scenario 2035; Water | ABSTRACT: In the long term, primary and secondary supply of refined copper satisfies demand. Numerous models exist to explain and predict demand and secondary supply; however, the projection of primary supply relies mostly on detailed knowledge of potential mining projects and on existing ore reserves and resources. Much discussion has occurred historically regarding the availability of resources and reserves for the future. Chile, being the largest copper producer, also has the largest reserves in the world; therefore, it retains its potential to be a key player in future supply. This article explores some of the most relevant resource and technological challenges that may emerge with an accelerated development of brownfield and greenfield copper mining projects in Chile through 2035, without considering economic, regulatory, and environmental constraints. A “Full Scenario” was created to accommodate these conditions and restrictions. It includes estimates of future ore reserves, copper production, plant capacity, ore grades, energy and water consumption, greenhouse gas (GHG) emissions, and generation of tailings. Maximum production would exceed 10 million tons of contained copper from 2027 to 2030, with a resulting decrease of ore grades and the growth of energy and water consumption. The growth of indirect GHG emissions through 2035 is estimated at 18.4% less than copper production growth, because all new electric energy for this scenario would be based on renewable energy. Also, all new water used by 38 out of the 42 mining projects considered would be seawater, and some of the continental water used in 2019 would cease to be used in mining."
7,14,"TITLE: Attracting mining investments: the relationship between natural endowments and public policies | KEYWORDS: Competitiveness; Cross-country models; Exploration expenditures; Geologic potential; Index of economic freedom; Investment climate | ABSTRACT: Mining jurisdictions avid to attract international investments to find and exploit their mineral deposits contend for international capitals. This led to policymakers, analysts, and companies to think about the factors affecting the competitiveness of mining districts. The traditional paradigm states that the capacity of a country or jurisdiction to attract investments and develop its local industry is a function exclusively of the quantity and quality of the ore deposits within its territory. On the other hand, the alternative view suggests that the previous conception is incomplete, because companies not only look for a good geologic potential but also for a favorable investment climate (Tilton 1992). Through cross-country econometric models covering the years 1996 to 2014, this work supports the alternative paradigm of mining competitiveness and tries to contribute to a better understanding of the relationship between the geological potential and the investment climate when determining the attraction of mining investments. The study concludes that, in order to develop a local mining industry, a country should have a wealthy natural endowment, but also it must offer a good investment climate. In addition, it shows that both variables are related through a multiplicative effect, but once public policies and other contextual variables reach certain reasonable levels (the “investment climate threshold”), jurisdictions compete almost exclusively based on its natural endowment. These results have significant implications for the implementation of public policies, especially in periods when mining contribution to social welfare is under scrutiny."
8,-1,"TITLE: Direct economic return to government of public geoscience information investments in Chile | KEYWORDS:  | ABSTRACT: This article presents the first attempt to evaluate the direct economic return of the provision of public geoscience information in Chile. To achieve this goal the study uses multiplier effect ratios through the value chain of PGI and a probabilistic discounted cash flow model to evaluate the economic returns of different scenarios for the ongoing governmental program mandated to generate country-scale geological information, named the National Geological Program. The study shows that, in average, every dollar invested in PGI in Chile during the past three decades could have generated 11.5 dollars of government tax revenues from the mining industry (in terms of its NPV), with an IRR of around 21%. These results are in accordance with comparable studies abroad, but they should be taken carefully due to methodological restrictions of the study. These indicators are positive in almost all the scenarios considered in the study, despite that they show a wide range of results. Similar outcomes are obtained for the National Geological Program when different scenarios are evaluated."
9,14,"TITLE: Determinants of country competitiveness in attracting mining investments: An empirical analysis | KEYWORDS:  | ABSTRACT: This study contributes to the debate on the competitiveness of countries to attract mining investments. The specific objectives of this work are: to bring empirical support to the alternative view of mining competitiveness, which highlights the key role of country's investment climate; and to propose a methodology, based on cross-country econometric models and the economic theory, to understand how the geological potential and the investment climate interact to define country's mining competitiveness. The research show that long-term mining competitiveness is not solely determined by the geological potential of countries. The models corroborate that both, geological potential and investment climate, are crucial to explain country's attractiveness. Moreover, the results suggest that the relationship of these two variables is not developed individually and additive, but through an interaction of both terms. Finally, the study identifies an “investment climate threshold area” in its final model. Mining competitiveness of countries with low investment climate depend on the interaction between their geological potential and investment climate. On the other hand, countries above this threshold compete for mining funds almost exclusively based on the mineral endowment of their territories. These findings could have relevant consequences in country's strategic decisions for the mining industry."
